raw_material_id,supplier_lead_time_days,cost_per_unit,holding_cost_rate
RAW_001,6,295.03,0.15
RAW_002,22,478.2,0.17
RAW_003,16,38.59,0.2
RAW_004,6,134.19,0.27
RAW_005,7,358.19,0.29
RAW_006,12,236.09,0.3
RAW_007,23,397.93,0.23
RAW_008,12,101.4,0.18
RAW_009,13,59.88,0.2
RAW_010,20,499.44,0.22
RAW_011,11,151.07,0.16
RAW_012,17,480.85,0.24
RAW_013,19,293.81,0.29
RAW_014,6,206.95,0.22
RAW_015,24,107.54,0.22
RAW_016,24,223.87,0.25
RAW_017,15,462.14,0.23
RAW_018,20,356.89,0.15
RAW_019,18,452.58,0.24
RAW_020,24,432.52,0.23
RAW_021,13,478.73,0.29
RAW_022,17,42.34,0.25
RAW_023,11,240.03,0.3
RAW_024,18,266.29,0.23
RAW_025,6,437.72,0.29
RAW_026,18,260.47,0.24
RAW_027,8,295.76,0.19
RAW_028,14,367.28,0.24
RAW_029,5,243.27,0.28
RAW_030,15,93.29,0.3
RAW_031,22,257.46,0.2
RAW_032,21,229.23,0.16
RAW_033,5,11.93,0.2
RAW_034,10,281.45,0.16
RAW_035,6,371.21,0.27
RAW_036,19,114.67,0.24
RAW_037,19,222.56,0.3
RAW_038,8,487.18,0.3
RAW_039,22,182.41,0.22
RAW_040,24,230.36,0.25
RAW_041,17,270.34,0.26
RAW_042,23,36.1,0.22
RAW_043,6,153.54,0.16
RAW_044,14,32.58,0.24
RAW_045,10,27.13,0.2
RAW_046,21,138.62,0.17
RAW_047,18,207.86,0.2
RAW_048,7,27.37,0.23
RAW_049,15,226.12,0.18
RAW_050,16,33.9,0.18
